Track ID,Artist - Title,Genre
1,ANiMAL - Clinic A,Rap
2,ANiMAL - Rockshow,Rap
3,Actions - One Minute Smile,Pop/Rock
4,Al James - Schoolboy Facination,Pop/Rock
5,Angela Thomas Wade - Milk Cow Blues,Country
6,Atlantis Bound - It Was My Fault For Waiting,Pop/Rock
7,BKS - Too Much,Pop/Rock
8,Bill Chudziak - Children Of No-one,Pop/Rock
9,Bobby Nobody - Stitch Up,Pop/Rock
10,Carlos Gonzalez - A Place For Us,Pop/Rock
11,Cnoc An Tursa - Bannockburn,Heavy Metal
12,Dark Ride - Burning Bridges,Heavy Metal
13,Drumtracks - Ghost Bitch,Pop/Rock
14,Fergessen - Back From The Start,Pop/Rock
15,Fergessen - The Wind,Pop/Rock
16,Forkupines - Semantics,Pop/Rock
17,Girls Under Glass - We Feel Alright,Electronic
18,Hollow Ground - Ill Fate,Heavy Metal
19,James Elder & Mark M Thompson - The English Actor,Heavy Metal
20,James May - Dont Let Go,Pop/Rock
21,James May - On The Line,Pop/Rock
22,Johnny Lokke - Promises & Lies,Pop/Rock
23,"Jokers, Jacks & Kings - Sea Of Leaves",Pop/Rock
24,Leaf - Come Around,Pop/Rock
25,Leaf - Wicked,Pop/Rock
26,Louis Cressy Band - Good Time,Pop/Rock
27,M.E.R.C. Music - Knockout,Rap
28,Motor Tapes - Shore,Pop/Rock
29,Nerve 9 - Pray For The Rain,Pop/Rock
30,Patrick Talbot - A Reason To Leave,Jazz
31,Phre The Eon - Everybody's Falling Apart,Pop/Rock
32,Raft Monk - Tiring,Pop/Rock
33,Sambasevam Shanmugam - Kaathaadi,Pop/Rock
34,Secretariat - Over The Top,Pop/Rock
35,Signe Jakobsen - What Have You Done To Me,Pop/Rock
36,Skelpolu - Resurrection,Electronic
37,Speak Softly - Broken Man,Pop/Rock
38,Spike Mullings - Mike's Sulking,Pop/Rock
39,Swinging Steaks - Lost My Way,Pop/Rock
40,The Long Wait - Back Home To Blue,Pop/Rock
41,The Mountaineering Club - Mallory,Pop/Rock
42,The Wrong'Uns - Rothko,Pop/Rock
45,Traffic Experiment - Sirens,Pop/Rock
46,Triviul - Dorothy,Pop/Rock
47,Voelund - Comfort Lives In Belief,Pop/Rock
48,We Fell From The Sky - Not You,Heavy Metal
49,Young Griffo - Facade,Heavy Metal
50,Zeno - Signs,Pop/Rock
51,AM Contra - Heart Peripheral,Pop/Rock
52,ANiMAL - Easy Tiger,Rap
53,Actions - Devil's Words,Pop/Rock
54,Actions - South Of The Water,Pop/Rock
55,Angels In Amplifiers - I'm Alright,Pop/Rock
56,Arise - Run Run Run,Reggae
57,BKS - Bulldozer,Pop/Rock
58,Ben Carrigan - We'll Talk About It All Tonight,Pop/Rock
59,Black Bloc - If You Want Success,Pop/Rock
60,Buitraker - Revo X,Pop/Rock
61,Chris Durban - Celebrate,Electronic
62,Cristina Vane - So Easy,Pop/Rock
63,Detsky Sad - Walkie Talkie,Pop/Rock
64,Enda Reilly - Cur An Long Ag Seol,Pop/Rock
65,Fergessen - Nos Palpitants,Pop/Rock
66,Flags - 54,Pop/Rock
67,Georgia Wonder - Siren,Pop/Rock
68,Giselle - Moss,Electronic
69,Hollow Ground - Left Blind,Heavy Metal
70,James May - All Souls Moon,Pop/Rock
71,James May - If You Say,Pop/Rock
72,Jay Menon - Through My Eyes,Pop/Rock
73,Johnny Lokke - Whisper To A Scream,Pop/Rock
74,Juliet's Rescue - Heartbeats,Pop/Rock
75,Leaf - Summerghost,Pop/Rock
76,Little Chicago's Finest - My Own,Rap
77,Lyndsey Ollard - Catching Up,Pop/Rock
78,Moosmusic - Big Dummy Shake,Pop/Rock
79,Mu - Too Bright,Pop/Rock
80,North To Alaska - All The Same,Pop/Rock
81,Patrick Talbot - Set Me Free,Jazz
82,Punkdisco - Oral Hygiene,Pop/Rock
83,Remember December - C U Next Time,Pop/Rock
84,Secretariat - Borderline,Pop/Rock
85,Side Effects Project - Sing With Me,Rap
86,Skelpolu - Human Mistakes,Electronic
87,Skelpolu - Together Alone,Electronic
88,Speak Softly - Like Horses,Pop/Rock
89,St Vitus - Word Gets Around,Pop/Rock
90,The Doppler Shift - Atrophy,Pop/Rock
91,The Long Wait - Dark Horses,Pop/Rock
92,The Sunshine Garcia Band - For I Am The Moon,Reggae
93,Tim Taler - Stalker,Pop/Rock
94,Titanium - Haunted Age,Heavy Metal
95,Traffic Experiment - Once More (With Feeling),Pop/Rock
96,Triviul - Angelsaint,Pop/Rock
97,Triviul feat. The Fiend - Widow,Pop/Rock
98,Wall Of Death - Femme,Heavy Metal
99,Young Griffo - Blood To Bone,Heavy Metal
100,Young Griffo - Pennies,Heavy Metal
